,album,track,artist,plays
0,The Rise and Fall of a Midwest Princess,Red Wine Supernova,Chappell Roan,22
1,Sailor Song,Sailor Song,Gigi Perez,21
2,Unreal Unearth: Unheard,Too Sweet,Hozier,18
3,Fireworks & Rollerblades,Beautiful Things,Benson Boone,17
4,Desire  I Want to Turn Into You,Sunset,Caroline Polachek,16
5,God Needs The Devil,God Needs The Devil,Jonah Kagen,16
6,Talia,Talia,King Princess,16
7,Die with a Smile,Die with a Smile,Lady Gaga,16
8,Silk Chiffon,Silk Chiffon,MUNA,16
9,I've Tried Everything But Therapy (Part 1),Lose Control,Teddy Swims,16
10,HIT ME HARD AND SOFT,CHIHIRO,Billie Eilish,15
11,HIT ME HARD AND SOFT,BIRDS OF A FEATHER,Billie Eilish,14
12,Desire  I Want to Turn Into You,Bunny Is a Rider,Caroline Polachek,14
13,THE TORTURED POETS DEPARTMENT [Explicit],Who's Afraid of Little Old Me?,Taylor Swift,14
14,HIT ME HARD AND SOFT,LUNCH,Billie Eilish,13
15,Pang,So Hot You're Hurting My Feelings,Caroline Polachek,13
16,I'm So Good At Being Alone?,Not The 1975,Knox,13
17,The Rise and Fall of a Midwest Princess,Pink Pony Club,Chappell Roan,12
18,Multitudes,Hiding Out in the Open,Feist,12
19,All in Good Time,All in Good Time,Iron & Wine,12
20,Golden Collection,Don’t Blame Me,Taylor Swift,12
21,Good Luck  Babe!,Good Luck  Babe!,Chappell Roan,11
22,Fleet Foxes,White Winter Hymnal,Fleet Foxes,11
23,How Big  How Blue  How Beautiful (Deluxe),Ship to Wreck,Florence + the Machine,11
24,Wasteland  Baby!,Almost (Sweet Music),Hozier,11
25,Hozier,Like Real People Do,Hozier,11
26,I Miss You Already + I Haven’t Left Yet,All We Ever Do Is Talk,Del Water Gap,10
27,Either/Or,Between the Bars,Elliott Smith,10
28,Turn Off All The Lights,Kiss The Ground,Haven Madison,10
29,Christine and the Queens,Tilted,Christine and the Queens,9
30,Ceremonials,Shake It Out,Florence + the Machine,9
31,Veckatimest,Two Weeks,Grizzly Bear,9
32,The Land Is Inhospitable and So Are We,Heaven,Mitski,9
33,Babel,I Will Wait,Mumford & Sons,9
34,About U,I Know a Place,MUNA,9
35,Labour,Labour,Paris Paloma,9
36,Wincing the Night Away,Australia,The Shins,9
37,Desire  I Want to Turn Into You: Everasking Edition,Spring Is Coming With A Strawberry In The Mouth,Caroline Polachek,8
38,Real Love Baby,Real Love Baby,Father John Misty,8
39,Lungs,Dog Days Are Over,Florence + the Machine,8
40,Unreal Unearth: Unheard,Unknown / Nth,Hozier,8
41,Beast Epic,Call It Dreaming,Iron & Wine,8
42,Dirty Computer,Make Me Feel,Janelle Monáe,8
43,Greatest Hits,Don't Stop Believin',Journey,8
44,Did you know that there's a tunnel under Ocean Blvd (Deluxe Version),Paris  Texas (feat. SYML),Lana Del Rey,8
45,Give Me A Minute,Pancakes for Dinner,Lizzy McAlpine,8
46,Strange Trails,The Night We Met,Lord Huron,8
47,Endless Summer Vacation,Flowers,Miley Cyrus,8
48,כל מה שיש לי,כל מה שיש לי,Rona Kenan,8
49,Irish Eyes,Irish Eyes,Rose Betts,8
50,Moveys,Falling Apart,Slow Pulp,8
51,After Hours,Blinding Lights,The Weeknd,8
52,Tourist History,What You Know,Two Door Cinema Club,8
53,עיניים זרות,בתוך אגם קפוא,ונה קינן,8
54,עולם שלי,עולם שלי,Alma Gov,7
55,שוב במדבר,שוב במדבר,Alma Gov,7
56,5K,Races,Barrie,7
57,L’AMOUR DE MA VIE,L’AMOUR DE MA VIE,Billie Eilish,7
58,Bon Iver,Holocene,Bon Iver,7
59,Midnight Sun,Father Mountain,Calexico,7
60,No Secrets,You're So Vain,Carly Simon,7
61,Desire  I Want to Turn Into You,Welcome to My Island,Caroline Polachek,7
62,The Rise and Fall of a Midwest Princess,HOT TO GO!,Chappell Roan,7
63,I Lied  I'm Sorry - Single,I Lied  I'm Sorry,Chloe Qisha,7
64,Deja Vu,Our House,Crosby  Stills  Nash & Young,7
65,The Reminder,1234,Feist,7
66,Women in Music Pt III (Expanded Edition),Now I'm In It - Bonus Track,HAIM,7
67,Our Endless Numbered Days,Naked as We Came,Iron & Wine,7
68,Stay Alive (From The Secret Life Of Walter Mitty),Stay Alive,José González,7
69,Texas Sun,Texas Sun,Khruangbin,7
70,1950,1950,King Princess,7
71,Older,drunk  running,Lizzy McAlpine,7
72,Don't Forget Me,Don't Forget Me,Maggie Rogers,7
73,Heard It in a Past Life,Light On,Maggie Rogers,7
74,Premonitions,Thingamajig,Miya Folick,7
75,Tieduprightnow,Tieduprightnow,Parcels,7
76,boys  bugs and men,boys  bugs and men,Paris Paloma,7
77,Embrace,Luna,Roosevelt,7
78,Embrace,Ordinary Love,Roosevelt,7
79,Are We There,Every Time the Sun Comes Up,Sharon Van Etten,7
80,Ten Love Songs,Fade Away,Susanne Sundfør,7
81,The Tortured Poets Department (Webstore Exclusive),Florida!!! (feat. Florence + the Machine),Taylor Swift,7
82,Being Funny in a Foreign Language,Oh Caroline,The 1975,7
83,Bloom,Bloom,The Paper Kites,7
84,The Art Of Pretending To Swim,A Trick of the Light,Villagers,7
85,המיטב,עוף גוזל,אריק אינשטיין,7
86,עיניים זרות,עיניים זרות,רונה קינן,7
87,שיר ורוד // אל תרוץ רחוק מדי,שיר ורוד // אל תרוץ רחוק מדי,Alma Gov,6
88,Ocean,Ocean,Andreas Moe,6
89,What Happened To The Heart?,To Be Alright,Aurora,6
90,& the Charm,Astrology Poisoning,Avalon Emerson,6
91,Colors,Dreams,Beck,6
92,The Life Pursuit,Another Sunny Day,Belle and Sebastian,6
93,WHEN WE ALL FALL ASLEEP  WHERE DO WE GO?,ilomilo,Billie Eilish,6
94,Bon Iver,Towers,Bon Iver,6
95,Greatest Hits,Born to Run,Bruce Springsteen,6
96,Tapestry,Where You Lead,Carole King,6
97,Hello Happiness,Like Sugar,Chaka Khan,6
98,BRAT,360,Charli xcx,6
99,יורד נמוך,אימפריות נופלות לאט,Dan Toren,6
